,agency_cd,site_no,datetime,tz_cd,89062_00060,89062_00060_cd,89063_00065,89063_00065_cd
0,USGS,2085070,2018-11-06 00:00,EST,808,P,4.32,P
1,USGS,2085070,2018-11-06 00:15,EST,804,P,4.31,P
2,USGS,2085070,2018-11-06 00:30,EST,790,P,4.27,P
3,USGS,2085070,2018-11-06 00:45,EST,779,P,4.24,P
4,USGS,2085070,2018-11-06 01:00,EST,772,P,4.22,P
5,USGS,2085070,2018-11-06 01:15,EST,768,P,4.21,P
6,USGS,2085070,2018-11-06 01:30,EST,755,P,4.18,P
7,USGS,2085070,2018-11-06 01:45,EST,750,P,4.17,P
8,USGS,2085070,2018-11-06 02:00,EST,732,P,4.13,P
9,USGS,2085070,2018-11-06 02:15,EST,728,P,4.12,P
10,USGS,2085070,2018-11-06 02:30,EST,719,P,4.1,P
11,USGS,2085070,2018-11-06 02:45,EST,711,P,4.08,P
12,USGS,2085070,2018-11-06 03:00,EST,702,P,4.06,P
13,USGS,2085070,2018-11-06 03:15,EST,694,P,4.04,P
14,USGS,2085070,2018-11-06 03:30,EST,685,P,4.02,P
15,USGS,2085070,2018-11-06 03:45,EST,685,P,4.02,P
16,USGS,2085070,2018-11-06 04:00,EST,673,P,3.99,P
17,USGS,2085070,2018-11-06 04:15,EST,669,P,3.98,P
18,USGS,2085070,2018-11-06 04:30,EST,656,P,3.95,P
19,USGS,2085070,2018-11-06 04:45,EST,660,P,3.96,P
20,USGS,2085070,2018-11-06 05:00,EST,652,P,3.94,P
21,USGS,2085070,2018-11-06 05:15,EST,644,P,3.92,P
22,USGS,2085070,2018-11-06 05:30,EST,640,P,3.91,P
23,USGS,2085070,2018-11-06 05:45,EST,632,P,3.89,P
24,USGS,2085070,2018-11-06 06:00,EST,624,P,3.87,P
25,USGS,2085070,2018-11-06 06:15,EST,620,P,3.86,P
26,USGS,2085070,2018-11-06 06:30,EST,613,P,3.84,P
27,USGS,2085070,2018-11-06 06:45,EST,609,P,3.83,P
28,USGS,2085070,2018-11-06 07:00,EST,601,P,3.81,P
29,USGS,2085070,2018-11-06 07:15,EST,601,P,3.81,P
30,USGS,2085070,2018-11-06 07:30,EST,594,P,3.79,P
31,USGS,2085070,2018-11-06 07:45,EST,582,P,3.76,P
32,USGS,2085070,2018-11-06 08:00,EST,582,P,3.76,P
33,USGS,2085070,2018-11-06 08:15,EST,575,P,3.74,P
34,USGS,2085070,2018-11-06 08:30,EST,571,P,3.73,P
35,USGS,2085070,2018-11-06 08:45,EST,560,P,3.7,P
36,USGS,2085070,2018-11-06 09:00,EST,560,P,3.7,P
37,USGS,2085070,2018-11-06 09:15,EST,553,P,3.68,P
38,USGS,2085070,2018-11-06 09:30,EST,549,P,3.67,P
39,USGS,2085070,2018-11-06 09:45,EST,546,P,3.66,P
40,USGS,2085070,2018-11-06 10:00,EST,535,P,3.63,P
41,USGS,2085070,2018-11-06 10:15,EST,532,P,3.62,P
42,USGS,2085070,2018-11-06 10:30,EST,525,P,3.6,P
43,USGS,2085070,2018-11-06 10:45,EST,521,P,3.59,P
44,USGS,2085070,2018-11-06 11:00,EST,513,P,3.57,P
45,USGS,2085070,2018-11-06 11:15,EST,505,P,3.55,P
46,USGS,2085070,2018-11-06 11:30,EST,505,P,3.55,P
47,USGS,2085070,2018-11-06 11:45,EST,497,P,3.53,P
48,USGS,2085070,2018-11-06 12:00,EST,493,P,3.52,P
49,USGS,2085070,2018-11-06 12:15,EST,481,P,3.49,P
50,USGS,2085070,2018-11-06 12:30,EST,485,P,3.5,P
51,USGS,2085070,2018-11-06 12:45,EST,473,P,3.47,P
52,USGS,2085070,2018-11-06 13:00,EST,473,P,3.47,P
53,USGS,2085070,2018-11-06 13:15,EST,465,P,3.45,P
54,USGS,2085070,2018-11-06 13:30,EST,461,P,3.44,P
55,USGS,2085070,2018-11-06 13:45,EST,458,P,3.43,P
56,USGS,2085070,2018-11-06 14:00,EST,450,P,3.41,P
57,USGS,2085070,2018-11-06 14:15,EST,446,P,3.4,P
58,USGS,2085070,2018-11-06 14:30,EST,446,P,3.4,P
59,USGS,2085070,2018-11-06 14:45,EST,435,P,3.37,P
60,USGS,2085070,2018-11-06 15:00,EST,439,P,3.38,P
61,USGS,2085070,2018-11-06 15:15,EST,435,P,3.37,P
62,USGS,2085070,2018-11-06 15:30,EST,432,P,3.36,P
63,USGS,2085070,2018-11-06 15:45,EST,428,P,3.35,P
64,USGS,2085070,2018-11-06 16:00,EST,417,P,3.32,P
65,USGS,2085070,2018-11-06 16:15,EST,417,P,3.32,P
66,USGS,2085070,2018-11-06 16:30,EST,417,P,3.32,P
67,USGS,2085070,2018-11-06 16:45,EST,414,P,3.31,P
68,USGS,2085070,2018-11-06 17:00,EST,407,P,3.29,P
69,USGS,2085070,2018-11-06 17:15,EST,407,P,3.29,P
70,USGS,2085070,2018-11-06 17:30,EST,400,P,3.27,P
71,USGS,2085070,2018-11-06 17:45,EST,400,P,3.27,P
72,USGS,2085070,2018-11-06 18:00,EST,396,P,3.26,P
73,USGS,2085070,2018-11-06 18:15,EST,393,P,3.25,P
74,USGS,2085070,2018-11-06 18:30,EST,390,P,3.24,P
75,USGS,2085070,2018-11-06 18:45,EST,390,P,3.24,P
76,USGS,2085070,2018-11-06 19:00,EST,379,P,3.21,P
77,USGS,2085070,2018-11-06 19:15,EST,383,P,3.22,P
78,USGS,2085070,2018-11-06 19:30,EST,375,P,3.2,P
79,USGS,2085070,2018-11-06 19:45,EST,375,P,3.2,P
80,USGS,2085070,2018-11-06 20:00,EST,371,P,3.19,P
81,USGS,2085070,2018-11-06 20:15,EST,367,P,3.18,P
82,USGS,2085070,2018-11-06 20:30,EST,364,P,3.17,P
83,USGS,2085070,2018-11-06 20:45,EST,360,P,3.16,P
84,USGS,2085070,2018-11-06 21:00,EST,356,P,3.15,P
85,USGS,2085070,2018-11-06 21:15,EST,352,P,3.14,P
86,USGS,2085070,2018-11-06 21:30,EST,352,P,3.14,P
87,USGS,2085070,2018-11-06 21:45,EST,348,P,3.13,P
88,USGS,2085070,2018-11-06 22:00,EST,345,P,3.12,P
89,USGS,2085070,2018-11-06 22:15,EST,345,P,3.12,P
90,USGS,2085070,2018-11-06 22:30,EST,337,P,3.1,P
91,USGS,2085070,2018-11-06 22:45,EST,337,P,3.1,P
92,USGS,2085070,2018-11-06 23:00,EST,337,P,3.1,P
93,USGS,2085070,2018-11-06 23:15,EST,334,P,3.09,P
94,USGS,2085070,2018-11-06 23:30,EST,330,P,3.08,P
95,USGS,2085070,2018-11-06 23:45,EST,330,P,3.08,P
96,USGS,2085070,2018-11-07 00:00,EST,330,P,3.08,P
97,USGS,2085070,2018-11-07 00:15,EST,323,P,3.06,P
98,USGS,2085070,2018-11-07 00:30,EST,326,P,3.07,P
99,USGS,2085070,2018-11-07 00:45,EST,316,P,3.04,P
100,USGS,2085070,2018-11-07 01:00,EST,316,P,3.04,P
101,USGS,2085070,2018-11-07 01:15,EST,316,P,3.04,P
102,USGS,2085070,2018-11-07 01:30,EST,316,P,3.04,P
103,USGS,2085070,2018-11-07 01:45,EST,309,P,3.02,P
104,USGS,2085070,2018-11-07 02:00,EST,312,P,3.03,P
105,USGS,2085070,2018-11-07 02:15,EST,309,P,3.02,P
106,USGS,2085070,2018-11-07 02:30,EST,309,P,3.02,P
107,USGS,2085070,2018-11-07 02:45,EST,306,P,3.01,P
108,USGS,2085070,2018-11-07 03:00,EST,302,P,3.0,P
109,USGS,2085070,2018-11-07 03:15,EST,302,P,3.0,P
110,USGS,2085070,2018-11-07 03:30,EST,302,P,3.0,P
111,USGS,2085070,2018-11-07 03:45,EST,299,P,2.99,P
112,USGS,2085070,2018-11-07 04:00,EST,299,P,2.99,P
113,USGS,2085070,2018-11-07 04:15,EST,292,P,2.97,P
114,USGS,2085070,2018-11-07 04:30,EST,292,P,2.97,P
115,USGS,2085070,2018-11-07 04:45,EST,292,P,2.97,P
116,USGS,2085070,2018-11-07 05:00,EST,289,P,2.96,P
117,USGS,2085070,2018-11-07 05:15,EST,285,P,2.95,P
118,USGS,2085070,2018-11-07 05:30,EST,285,P,2.95,P
119,USGS,2085070,2018-11-07 05:45,EST,285,P,2.95,P
